Cert valued most,Certs Valued Least
A+,A+
"Accredited CC Evaluator in 3 schemes (Germany, Sweden, US)",A+
Amazon,A+
Amazon,A+
Amazon,A+
Amazon,A+
Amazon,A+
Amazon,A+
Microsoft,A+
CASP,A+
CASP,A+
CCDP,A+
CCME,A+
CCNA,A+
CCNA,A+
CCNA,A+
CCNA,A+
CCNA,A+
CCNA,ACE
CCNIA,ACE
CCNP-Security,ACE
CCSP,ACE
CDNA,All
CEH,All
CEH,All
CEH,all
CEH,All
CEH,all
CEH,all
CEH,All
CEH,All
CEH,All
CFCE,All
CISA,All
CISA,ALL
CISA,ALL
CISA,ALL
CISA,ALL
CISA,All
CISA,Amazon
CISM,AWS
CISM,Azure Fundamentals
CISM,Azure Fundamentals
CISM,Azure Fundamentals
CISM,Azure fundamentals 
CISM,CCNA
CISSP,CCNA
CISSP,CCNA
CISSP,CCSK
CISSP,CCSK
CISSP,CCSP
CISSP,CCSP
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CEH
CISSP,CHECKPOINT
CISSP,CHFI
CISSP,CHFI
CISSP,CHFI
CISSP,CHFI
CISSP,CISA
CISSP,CISA
CISSP,CISA
CISSP,CISCO
CISSP,CISM
CISSP,CISM
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,CISSP
CISSP,Cissp
CISSP,CISSP
CISSP,CISSP
CISSP ,CISSP
CISSP-ISSEP,CISSP
CKA,CISSP
CRISC,CISSP
CRTO,CISSP
CRTP,CISSP
"CRTP, GCIH",CISSP
CYSA+,cissp
CySA+,CISSP
DCAP,CISSP
eCPPT,CISSP
EnCE,CISSP
ENCE,CISSP
ENCEP,CISSP
GASF,CISSP
GCDA,CISSP
GCDA,CNDA
GCDA,COMPTIA
GCDA,CyberSec First Responder 
GCDA,CYSA+
GCDA,DATA PRIVACY EXPERT
GCED,E|CSA
GCFA,ECIH
GCFA,ENCEP
GCFA,FEMA Certifications
GCFA,GCCC
GCFA,Gcfa
GCFA,GCFE
GCFA,GCIH
GCFA,GCIH
GCFA,GCTI
GCFA,German Grundschutz Auditor
GCFA,GIAC
GCFA,GMON
GCFA,GMON
GCFA,GNFA
GCFA,Gpen
GCFA,GPPA
GCFA,GREM
GCFA,GSEC
GCFA,GSEC
GCFA,GWAPT
GCFE,HCISPP
GCFE,HCISPP
GCFE,INET+
GCFE,ISACA
GCFE,ISACA
GCFE,ISC2
GCIA,Iso 31000
GCIA,ISO27001 lead auditor
GCIA,ISSMP
GCIA,ITIL
GCIA,ITIL
GCIA,ITIL
GCIA,ITIL
GCIH,ITIL
GCIH,ITIL
GCIH,ITIL
GCIH,iVe
GCIH,MCITP
GCIH,MCSE
GCIH,MCSE
GCIH,Microsoft
GCIH,Microsoft SMS 2.0
GCIH,MTA
GCIH,MyCSF
GCIH,Net+
GCIH,NETWORK+
GCIH,NETWORK+
GCIH,NON-PEARSON VENUE CERTS
GCIH,Novell CNA
GCIH,Novell CNA
GCIH,NT 4.0 MCSE
GCIH,NT 4.0 MSCE
GCIH,OCA
GCIH,PMP
GCIH,PROJECT+
GCTI,PROJECT+
GCTI,SABSA
GCTI,SANS
GCTI,SANS
GCTI,Scrum Master
GCTI,SECURITY+
GCTI,SECURITY+
GCTI,SECURITY+
GCTI,SECURITY+
GCTI,SECURITY+
GCTI ,SECURITY+
GCWN,SECURITY+
